,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Ian,Mitte,Brunnenstr. Süd,52.53453732241747,13.402556926822387,Entire home/apt,60,4,118,2018-10-28,3.76,4,141
1,2695,Prenzlauer Berg close to Mauerpark,2986,Michael,Pankow,Prenzlauer Berg Nordwest,52.54851279221664,13.404552826587464,Private room,17,2,6,2018-10-01,1.42,1,0
2,3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.53499619158672,13.417578665333295,Entire home/apt,90,62,143,2017-03-20,1.25,1,220
3,3309,BerlinSpot Schöneberg near KaDeWe,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.498854933130026,13.34906453348717,Private room,26,5,25,2018-08-16,0.39,1,297
4,7071,BrightRoom with sunny greenview!,17391,Bright,Pankow,Helmholtzplatz,52.543157263313105,13.415091104515707,Private room,42,2,197,2018-11-04,1.75,1,26
5,9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.53303076802682,13.416046823956403,Entire home/apt,180,6,6,2018-07-23,0.15,1,137
6,14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.547846407992154,13.405562243722455,Entire home/apt,70,90,23,2018-11-01,0.23,3,129
7,16401,APARTMENT TO RENT,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51051399601543,13.457850238106197,Private room,120,30,0,,,1,365
8,16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.504792273859145,13.435101853886053,Entire home/apt,90,60,48,2017-12-14,0.47,2,159
9,17409,Downtown Above The Roofs In Berlin,67590,Wolfram,Pankow,Prenzlauer Berg Südwest,52.529070924673775,13.412843393984936,Private room,45,3,279,2018-10-31,2.83,1,42
10,17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Matthias,Neukölln,Reuterstraße,52.49547632662389,13.421821277536653,Entire home/apt,49,5,223,2018-10-30,2.1,1,232
11,20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53695243192395,13.407615032621536,Entire home/apt,129,3,56,2018-10-20,0.75,1,166
12,21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.502733334069404,13.434619857852766,Entire home/apt,70,60,60,2016-06-05,0.61,2,129
13,22415,Stylishly furnished 3 room flat,86068,Kiki,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49485061986592,13.428500598140365,Entire home/apt,98,3,61,2018-10-01,0.59,2,257
14,22677,Prenzel garden with leafy terrace,87357,Ramfis,Mitte,Brunnenstr. Süd,52.53434836322022,13.405576517191427,Entire home/apt,160,3,223,2018-11-05,2.27,1,228
15,23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971442632367,13.379747575408965,Entire home/apt,65,60,96,2018-06-30,0.94,1,275
16,24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg Südwest,52.53079085230837,13.41808443901994,Entire home/apt,90,3,18,2018-08-25,0.18,2,3
17,25653,Sunny & stylish 150 sqm apartment,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.53025873628243,13.419466962263806,Entire home/apt,90,4,5,2016-08-14,0.05,2,15
18,26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.544062391196874,13.421376521988275,Entire home/apt,197,3,163,2018-11-05,1.63,1,336
19,28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.546719368149425,13.405117021304426,Entire home/apt,70,90,28,2017-04-29,0.29,3,191
20,28268,Cozy Berlin Friedrichshain for1/6 p,121580,Elena,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51338523184102,13.469947507779649,Entire home/apt,90,5,30,2017-08-02,0.33,1,55
21,28711,Silent Studio-apt in Kreuzkölln,84157,Emanuela,Neukölln,Reuterstraße,52.48610614913479,13.43481698170685,Entire home/apt,60,2,1,2013-08-13,0.02,10,341
22,29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54178764990126,13.42388315889975,Entire home/apt,130,60,69,2018-07-31,0.7,3,221
23,30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596726018988,13.422358872353616,Entire home/apt,100,4,240,2018-10-31,2.42,4,296
24,31440,"Nice Room in Prenzlauerberg,",135046,Thomas,Pankow,Helmholtzplatz,52.5430892935274,13.42245309399176,Private room,44,1,28,2018-10-28,4.94,1,361
25,33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.521417975814856,13.357082298389068,Entire home/apt,62,3,144,2018-11-04,1.44,1,343
26,35642,Cozy 2 Room Apartment in trendy Prenzlauer Berg,153252,Thorsten,Pankow,Prenzlauer Berg Nord,52.54936125502965,13.418227669657085,Entire home/apt,55,60,1,2010-09-16,0.01,1,89
27,36480,ChimaysaberlinB&B Single Bedroom,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.519676583782385,13.302088764141637,Private room,40,1,33,2018-10-19,1.63,2,297
28,37004,WONDERFUL ROOM for longer stays Berlin Central,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.4933892413189,13.364813135044635,Private room,25,5,21,2018-09-25,0.21,1,329
29,37052,QUIET n SUNNY FLAT in MITTE/PBERG,149093,Rob,Mitte,Brunnenstr. Süd,52.538220334346455,13.404625244040144,Entire home/apt,52,2,307,2018-10-04,3.04,2,25
30,37836,Weekend in Berlin Party Center - II,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49847237312909,13.440131897810144,Private room,39,1,161,2018-10-30,1.59,2,120
31,38074,3 months min stay in the heart of Prenzlauer Berg!,163384,Alan & Kasia,Pankow,Prenzlauer Berg Süd,52.53680114276391,13.42546637252866,Entire home/apt,80,84,102,2018-07-21,1.03,10,221
32,38296,nice apartment to rent in Neukölln in September!,164310,Oliver,Neukölln,Schillerpromenade,52.485862608293196,13.423619080920696,Entire home/apt,80,10,6,2012-07-27,0.06,1,310
33,40600,room-artist loft berlin kreuzberg ,174970,Judith,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.488442283310825,13.420599819323225,Private room,50,3,50,2016-09-26,0.62,2,0
34,41217,Beautiful room in Prenzlauer Berg,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.536407867357596,13.412310448979609,Private room,43,2,70,2017-10-08,0.7,1,0
35,41306,"Schöner Altbau, 6 min zum Alexanderpatz.",179872,Sebastian,Pankow,Prenzlauer Berg Süd,52.53028017566882,13.42347847724301,Private room,40,1,1,2014-09-26,0.02,1,0
36,42742,Spacious 35m2 in Central Apartment,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4966675178124,13.440339722231824,Private room,36,1,25,2018-10-01,0.32,2,217
37,42809,The Berlin Artist Apartment.,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51175980499001,13.455361679724279,Entire home/apt,119,4,109,2018-11-04,1.14,1,285
38,43123,Lux Berlin 1: boutique & design,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.53946252929092,13.408834096612914,Entire home/apt,90,5,65,2018-10-31,0.66,2,186
39,44083,Riverside View Apartment,193038,Michaela,Treptow - Köpenick,Alt  Treptow,52.49040069623207,13.440845896384618,Private room,42,3,11,2018-10-01,0.12,1,65
40,44423,Lovely accommodation in Berlin,194957,Robert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.508884465404044,13.456360976343932,Private room,56,2,101,2018-10-09,1.02,1,32
41,46161,Design-Room in Mitte/PrenzlauerBerg,201936,Giorgio,Pankow,Prenzlauer Berg Südwest,52.53254194634928,13.409825660460804,Private room,50,4,151,2018-03-11,1.63,1,0
42,46172,Chic Loft By Kastanienallee,206338,Heike,Mitte,Brunnenstr. Süd,52.538089761750115,13.40536489911275,Entire home/apt,48,60,38,2018-08-29,0.48,2,264
43,47938,Lovely 2 BR flat in Prenzlauer Berg,218479,Laura,Pankow,Prenzlauer Berg Südwest,52.53219075931284,13.41987524532209,Entire home/apt,160,3,35,2018-09-29,0.35,1,32
44,48955,Cozy studio in the heart of Berlin,211722,Anne,Pankow,Prenzlauer Berg Südwest,52.536267062778556,13.420812783549412,Entire home/apt,70,4,0,,,1,129
45,52734,"LUMINOUS, LOFT LIKE APT IN F'HAIN",112446,Boris,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51120880705793,13.457278071959973,Entire home/apt,88,5,5,2016-10-21,0.07,1,0
46,54952,Riverfront Panorama,258697,Trent,Mitte,Alexanderplatz,52.523593080092716,13.387406366668039,Private room,55,4,156,2018-10-14,1.6,1,33
47,55298,Couch in Livingroom available,261030,Edna,Tempelhof - Schöneberg,Schöneberg-Nord,52.498379301039115,13.34181568690064,Shared room,88,2,0,,,1,365
48,55455,Panorama Apartment Berlin Centre,261953,Clara,Mitte,Alexanderplatz,52.521145362296046,13.40608326685905,Entire home/apt,90,2,1,2011-01-26,0.01,1,67
49,55853,Hauptstadt-Domizil,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.503403011698865,13.292025527066214,Entire home/apt,55,60,11,2016-03-12,0.16,1,285
50,57049,130 sqm with a view on Mauer Park,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.547867835067684,13.404167372432338,Entire home/apt,200,3,81,2018-10-16,0.84,3,68
51,57209,Top apartment in Mitte-Arkonaplatz,272286,Vilius,Mitte,Brunnenstr. Süd,52.53683096273127,13.398966507950535,Entire home/apt,80,3,160,2018-11-03,1.68,1,264
52,57792,Bungalow mit Garten in Berlin Zehlendorf,275784,Jo,Steglitz - Zehlendorf,Ostpreußendamm,52.42530982912259,13.328061611379399,Entire home/apt,49,2,3,2017-02-12,0.03,1,0
53,58041,Apt. in a historic ambience+Wifi from 18.11.2018,145808,Veronika,Mitte,Alexanderplatz,52.52770910110819,13.390902470147008,Entire home/apt,55,90,72,2018-05-31,0.88,1,352
54,58780,light quiet beautiful 4 room flat,281614,Katja,Pankow,Prenzlauer Berg Süd,52.534204666577885,13.426711669188904,Entire home/apt,130,5,32,2018-11-04,0.37,2,211
55,59249,Lux Berlin 2: luxury & design ,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.54088868001604,13.409448814157395,Entire home/apt,90,5,76,2018-10-25,0.85,2,149
56,60161,House at the water,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3782796904114,13.652751149230713,Entire home/apt,120,2,7,2018-11-04,0.13,4,86
57,63052,"Beautiful, quiet, clean & central.",307513,Shoshik,Neukölln,Neuköllner Mitte/Zentrum,52.46892121357074,13.434541014208676,Private room,37,6,96,2018-10-01,1.28,2,347
58,63468,Ferienwohnung Kreuzberg,309364,Kreuzberger,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50359828363869,13.4320599213118,Entire home/apt,52,2,89,2018-10-21,1.16,3,323
59,64245,Room in great area Prenzlauer Berg,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.54649888653129,13.406329471467506,Private room,44,3,45,2018-06-11,0.5,2,123
60,64590,Great apt. directly on the canal!,315681,Mirjam,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.494970325600654,13.423991494661836,Entire home/apt,102,2,34,2018-05-31,0.39,1,0
61,68142,Cute sunny room in Friedrichshain,337021,Dayna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5248935337621,13.453857347885648,Private room,29,2,70,2018-10-28,0.91,1,58
62,68448,Spacious & quiet apt near Mauerpark,163384,Alan & Kasia,Pankow,Prenzlauer Berg Nord,52.54979810330722,13.415959608867743,Entire home/apt,84,3,220,2018-10-21,2.43,10,315
63,72079,"Italian Design at Kudamm ,WiFi DSL free",261488,P. Charlotte,Charlottenburg-Wilm.,Kantstraße,52.50780325949872,13.318707261044278,Entire home/apt,80,3,37,2018-10-14,0.55,2,349
64,73302,Penthouse-Loft  Berlin-Schöneberg,382638,Hardy,Tempelhof - Schöneberg,Schöneberg-Nord,52.501054343895426,13.350320889902525,Entire home/apt,69,3,200,2018-10-29,2.14,1,178
65,74614,City apartment in Prenzlauer Berg,393047,Fatena,Pankow,Prenzlauer Berg Südwest,52.5376951267311,13.408535523373187,Entire home/apt,185,4,59,2018-10-14,0.76,1,359
66,80843,Berlin City Studio Apt.,437628,Oliver,Charlottenburg-Wilm.,Schmargendorf,52.48086412777901,13.28998185775034,Entire home/apt,49,2,69,2018-10-13,0.75,1,28
67,81049,Lux.2BR Apart.BerlinMitte Lic. 01/Z/ZA/ (Phone number hidden by Airbnb),249501,Elfie And  Paul,Mitte,Regierungsviertel,52.521839178073215,13.390672160465307,Entire home/apt,155,4,39,2018-11-06,0.43,1,286
68,81081,Beautiful Prenzlauer Berg Apt,425899,Bernd+Katja :-),Pankow,Prenzlauer Berg Nord,52.5496809620105,13.415277910466587,Entire home/apt,66,3,238,2018-10-28,2.59,1,69
69,82893,Apartment 2 Mitte,451311,Ruth,Mitte,Brunnenstr. Süd,52.53199962450306,13.382847513861474,Entire home/apt,70,3,71,2018-10-14,0.8,3,225
70,83183,Garden Apartment-Prenzlauer Berg,453109,Angela L.,Pankow,Prenzlauer Berg Süd,52.5367732257693,13.42446883280099,Entire home/apt,53,2,197,2018-10-29,2.23,2,249
71,83568,Beautiful stylish Prenzlauer Berg rooftop apt.,455670,Olaf,Pankow,Helmholtzplatz,52.54484866792699,13.418909904797257,Entire home/apt,70,3,2,2018-10-22,1.54,1,139
72,83614,"Spacious & Elegant Flat, 2 bathrooms, full kitchen",456085,Louis,Pankow,Helmholtzplatz,52.54621993958732,13.417857494605347,Entire home/apt,92,1,265,2018-10-30,2.86,2,323
73,85560,Apartment 1 in Berlin,451311,Ruth,Mitte,Brunnenstr. Süd,52.53181501425351,13.382298973709073,Entire home/apt,75,3,47,2018-10-23,1.09,3,328
74,86514,"Sunny room, Kreuzberg ",464827,Hayley,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49820825407495,13.441778788008365,Private room,80,2,44,2017-06-23,0.48,1,365
75,87549,Independent room in green Kreuzberg,81113,Carol,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49615556002189,13.373974369710007,Private room,48,2,167,2018-11-04,1.82,1,336
76,89102,Bright loft in the Kastanienallee,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.54052905754406,13.409949597839894,Entire home/apt,114,10,57,2018-11-01,0.63,4,109
77,91290,Gardenside flat for 2-3 guests,382397,Josep,Neukölln,Reuterstraße,52.490038055033466,13.426190641200547,Entire home/apt,60,2,44,2017-10-09,0.48,1,2
78,102882,STORAGE APARTMENT URBAN,86173,Sebastian,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.488783013182776,13.421956318303518,Entire home/apt,506,3,112,2017-04-16,1.24,2,0
79,106290,GREAT apartment in BERLIN-KREUZBERG,542540,Bart,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49727117967017,13.4317677280918,Entire home/apt,50,1,154,2018-10-08,1.69,1,315
80,106331,Beautiful flat in Prenzlauer Berg,551159,Lauri,Pankow,Prenzlauer Berg Süd,52.53370314819088,13.436699040185669,Entire home/apt,82,60,91,2018-10-20,1.0,2,319
81,107968,"Gästeapartment Berlin- Schöneberg

",558933,Frank,Tempelhof - Schöneberg,Schöneberg-Nord,52.49854776932378,13.342940503262401,Entire home/apt,80,3,59,2018-10-03,0.66,1,363
82,109658,Spacious Studio Apartment in Berlin,565578,Miriam,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.524264570238095,13.452067177881744,Entire home/apt,60,3,68,2018-10-20,0.77,1,236
83,111579,IN THE CENTER OF BERLIN.....,570951,S. Kjel,Mitte,Alexanderplatz,52.527201117957055,13.4095282119564,Entire home/apt,70,4,114,2016-06-05,1.33,2,194
84,114763,In the heart of Berlin!,582007,Julia,Tempelhof - Schöneberg,Schöneberg-Süd,52.488050033648044,13.353250379710676,Entire home/apt,130,3,53,2018-10-01,0.74,1,140
85,115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.58150268997834,13.3978581755756,Entire home/apt,69,2,3,2018-06-23,0.05,1,344
86,116832,Clean & Spacious Kreuzberg Apt,590130,Oliver,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49094420157708,13.396194429695148,Entire home/apt,75,14,3,2015-08-01,0.06,1,310
87,117649,F43 - your base for Berlin,594164,Ralph&Maria,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.50004365663805,13.442648963468384,Entire home/apt,68,60,84,2017-08-15,0.93,1,266
88,121888,"private, calm but very central",611847,Michel,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.518177197329855,13.463995796385912,Entire home/apt,125,7,5,2016-07-17,0.06,1,0
89,125349,Cottage Berlin-Friedrichshagen,623521,Andre,Treptow - Köpenick,Friedrichshagen,52.45105230030461,13.635283164937055,Entire home/apt,70,2,26,2018-10-18,0.49,1,340
90,127708,Design Jewel in the midst of MITTE!,632174,Stéphanie,Mitte,Alexanderplatz,52.519648803976175,13.410989725180972,Entire home/apt,89,2,443,2018-10-23,5.2,5,295
91,128827,Gorgeous Home in the City's Heart,632971,Kai,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509483216844394,13.46119273281486,Entire home/apt,59,2,16,2018-07-09,0.37,1,302
92,135097,Nähe KaDeWe & Kurfürstendamm,662534,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.50089197267288,13.34691847873334,Entire home/apt,96,1,148,2018-10-21,1.67,1,202
93,138955,Guest Apartment near Viktoriapark,677988,Pigi,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49097476368089,13.376910146481142,Entire home/apt,75,2,191,2016-05-29,2.13,1,0
94,139769,Mitte Auguststrasse Room Central&Charming,681637,Stefano,Mitte,Alexanderplatz,52.52810573094471,13.39194616349694,Private room,55,2,226,2018-11-03,2.54,1,322
95,143605,""" Berlin Fuffa's 40m2  apartment """,696492,Gaston & Elena,Neukölln,Schillerpromenade,52.47677777481413,13.424371494296867,Entire home/apt,55,30,55,2018-05-07,0.63,1,312
96,145249,Private Wing of Penthouse - Terrace,703493,Evelyna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.518192193175324,13.461220877937734,Private room,70,3,107,2018-10-12,1.41,1,50
97,147946,1-room-flat in Prenzlauer Berg/WIFI,712973,Jan,Pankow,Prenzlauer Berg Nordwest,52.54854936182288,13.408516746844336,Entire home/apt,31,183,39,2017-02-12,0.45,1,324
98,149849,Cosy room in Mitte/Rosenthaler pl.,722460,George,Mitte,Alexanderplatz,52.5298171921792,13.40259803750833,Private room,40,2,47,2018-11-03,0.54,1,84
99,151249,"Quiet, Terrasse, cats, baby equiped",728298,Julia,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49677893596029,13.416794504313168,Entire home/apt,81,1,10,2018-09-16,0.26,1,342
100,153015,Central Artist Appartement Prenzlauer Berg,735823,Marc,Pankow,Helmholtzplatz,52.54714552904225,13.418253805829684,Private room,52,3,127,2018-11-06,1.61,1,341
101,155048,"Great 76 qm apartment, 2 balconies",745571,Uli,Pankow,Prenzlauer Berg Nord,52.54250548510002,13.437193263101435,Entire home/apt,100,180,4,2011-11-14,0.04,1,282
102,156010,TWO ROOM APARTMENT ALEXANDERPLATZ ,750165,Angela,Mitte,Alexanderplatz,52.5155351204516,13.424467420462493,Entire home/apt,36,90,95,2017-08-29,1.06,1,1
103,157546,"Facing the canal, Paul Lincke Ufer",311245,François,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49544917093305,13.424493405497936,Entire home/apt,88,5,45,2018-10-06,0.53,1,291
104,157839,room in typical berlin-style apt.,671536,Nicole,Mitte,Moabit West,52.53082537497308,13.342213964835418,Private room,29,1,252,2018-10-18,2.96,1,324
105,158890,Loft Appartment in Berlin Kreuzberg,762526,Stefan,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4990345036111,13.436536845747812,Entire home/apt,100,10,3,2016-06-09,0.08,1,325
106,159454,"Bright, Charming and Modern Altbau",499725,Prasad,Charlottenburg-Wilm.,Wiesbadener Straße,52.4783122169229,13.311401944589958,Entire home/apt,161,2,43,2018-10-30,0.57,1,222
107,160517,Nice House in the Near from the Airport Tegel,768932,Sven,Reinickendorf,West 3,52.59656148881527,13.302177471255856,Entire home/apt,65,2,5,2018-11-01,2.11,1,214
108,161425,Cozy Apartment Gauystraße near Schönhauser Allee,772420,Niko,Pankow,Helmholtzplatz,52.54566761341074,13.414469175064475,Entire home/apt,70,2,103,2018-09-21,1.36,1,42
109,163287,"Very nice apartment, Bergmann area",779623,Stefano,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.491791579552796,13.397270625123513,Entire home/apt,29,150,71,2016-04-30,0.8,2,359
110,163411,Ample parkside apartment Kreuzberg,779213,Jutta,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49737973107708,13.436374924087724,Entire home/apt,80,5,12,2018-08-18,0.14,1,253
111,167189,Colorful & Bright Spot BerlinKrzbrg,796727,Juan,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5018854427702,13.438014425329065,Private room,49,3,374,2018-10-13,4.21,1,5
112,168615,STAYINTOWN - Apartment in Berlin,803717,Dirk,Pankow,Blankenburg/Heinersdorf/Märchenland,52.58055049897068,13.44539121943636,Entire home/apt,49,2,6,2018-10-16,0.08,1,159
113,169603,Luxury  & silent apartment near park and riverside,808393,Oliver,Lichtenberg,Rummelsburger Bucht,52.49655707634615,13.483793612791464,Entire home/apt,59,1,28,2018-11-02,0.35,2,16
114,169907,Cozy Berlin nest with great access,809715,Donna,Tempelhof - Schöneberg,Friedenau,52.46981277766224,13.330368455954346,Private room,30,1,13,2017-12-17,0.32,1,0
115,170582,Room for one Women - Living Community,813767,Lena,Charlottenburg-Wilm.,Wiesbadener Straße,52.467468175206186,13.313736664841388,Private room,23,5,15,2018-09-23,0.88,1,190
116,170652,2-room apartment. Mauerpark TOP!,814026,Frank,Mitte,Brunnenstr. Nord,52.54529865450746,13.397289357596057,Private room,40,5,5,2018-09-21,0.07,1,362
117,170974,"Very Sunny, cozy Room with Balcony :)",815530,Onkel,Neukölln,Neuköllner Mitte/Zentrum,52.479388800974796,13.430209628755884,Private room,35,7,48,2018-10-06,0.63,1,89
118,171746,Lovely oasis in heart of Prenzlberg,819384,Eva-Marion,Pankow,Helmholtzplatz,52.544105902553355,13.414099162842891,Entire home/apt,70,4,84,2018-10-30,1.73,1,320
119,173153,Beautiful flat 95m² in Berlin Mitte,826546,Wolfgang,Pankow,Prenzlauer Berg Südwest,52.53054850965057,13.407016713355516,Entire home/apt,80,2,33,2017-10-30,0.38,1,0
120,174391,BERLIN The most central!,833209,Julija,Mitte,Alexanderplatz,52.52885628704049,13.396841414864655,Private room,42,1,1,2016-05-06,0.03,1,0
121,174547,Berlin City Apartment 1with WiFi,833995,Ilona,Mitte,Alexanderplatz,52.51100177386567,13.415950719937944,Entire home/apt,96,60,31,2016-10-02,0.37,4,0
122,174560,"2 apartment in Berlin Center, WiFi",833995,Ilona,Mitte,Alexanderplatz,52.510727746574794,13.417906085619386,Entire home/apt,75,60,56,2016-10-01,0.71,4,280
123,174576,Berlin City Suite 3 mit W-Lan ,833995,Ilona,Mitte,Alexanderplatz,52.50939926752596,13.416228803622197,Entire home/apt,96,60,41,2016-10-02,0.5,4,364
124,174579,Berlin City Studio 4 mit W-Lan,833995,Ilona,Mitte,Alexanderplatz,52.509054855173844,13.41556268538749,Entire home/apt,76,60,81,2016-09-23,0.98,4,0
125,175667,"calm, sunny and central apartment ",839532,Christina,Tempelhof - Schöneberg,Schöneberg-Süd,52.49137801093193,13.343314916960828,Entire home/apt,46,60,8,2017-01-11,0.09,2,309
126,176342,Landmark/Checkpoint Charlie/120m2/2BATH/3BR/NEW,843326,Nino,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.503631482561595,13.39201042090914,Entire home/apt,296,1,18,2018-10-28,0.31,3,331
127,176355,Landmark/Checkpoint Charlie/110m2/2BATH/2BR/new,843326,Nino,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50147591952889,13.39110689609045,Entire home/apt,244,1,17,2018-10-02,0.2,3,333
128,176396,Quiet room direct to metro station,843558,Christine,Reinickendorf,Ost 2,52.572028355937405,13.350790857027247,Private room,20,1,11,2018-10-24,0.48,1,0
129,176852,Big & sunny apartment in Kreuzberg,845790,Aaike,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.493002682753314,13.440889696658786,Entire home/apt,50,3,1,2015-09-23,0.03,1,1
130,177486,"Comfy bright studio flat, 1-3 Pers.",848965,Joscha,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.478938320034,13.327157621807752,Entire home/apt,59,2,39,2018-10-11,0.49,1,96
131,178347,Design Apartment Berlin Neukölln,853446,Florian,Neukölln,Reuterstraße,52.48865416928278,13.428955718077145,Entire home/apt,75,2,71,2016-04-17,0.83,1,243
132,179102,"registered, legal hughe penthouse for 1-2 families",857327,Alke,Pankow,Pankow Zentrum,52.568681282401506,13.399690953780912,Entire home/apt,170,2,118,2018-10-24,1.42,1,244
133,180440,CITY STUDIO WEST@ Kurfürstendamm(monthly discount),864399,Roland & Sam,Charlottenburg-Wilm.,Neue Kantstraße,52.50064756935614,13.301619399504919,Entire home/apt,39,60,18,2018-09-24,0.23,1,202
134,181160,KINOMUSEUM,868282,Frank,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49172695564685,13.421000419836648,Private room,39,2,385,2018-10-30,4.36,2,167
135,183206,Cosy Studio with balcony in Mitte,98237,Damian,Mitte,Alexanderplatz,52.52735491907917,13.38985627131661,Entire home/apt,64,1,389,2018-10-31,4.46,3,287
136,183918,furnitured red room with balcony,882529,Ariane,Pankow,Pankow Süd,52.55762500687087,13.412937659067975,Private room,35,15,15,2016-10-09,0.19,1,0
137,183988,Luxury Ku'damm Studio +  Bikes 4you,882801,Jennifer,Charlottenburg-Wilm.,Neue Kantstraße,52.50102762775477,13.302697494915234,Entire home/apt,100,2,350,2018-10-27,4.21,1,272
138,183996,"LargeTopFloor,2Terraces,Prenzl'Berg",882841,Johannes,Pankow,Helmholtzplatz,52.54362828315854,13.418535807902385,Entire home/apt,375,2,36,2018-11-04,0.86,3,224
139,185960,bright and large furnished room,893191,Juliane,Neukölln,Reuterstraße,52.48350793185751,13.435552522915618,Private room,29,7,14,2018-08-09,0.16,1,258
140,186851,"CasaKaiser, 2 room apartment",898345,Susanne,Tempelhof - Schöneberg,Schöneberg-Nord,52.492831856836474,13.348729563560164,Entire home/apt,32,62,51,2018-08-31,0.65,1,205
141,186908,Appartement Dressler in Berlin,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.38057986494855,13.651156835202949,Entire home/apt,45,2,2,2014-08-14,0.03,4,86
142,186999,House on Water,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37886768122416,13.651231409727053,Entire home/apt,120,3,7,2018-03-25,0.13,4,86
143,187206,cozy room,900521,Angelika-Maria,Mitte,Osloer Straße,52.5633446672036,13.388021573580913,Private room,25,2,224,2018-11-04,2.63,1,322
