,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12944,18973169,Kleines Zimmer in Mitte/Little room in family home,107377926,Judith,Mitte,Brunnenstr. Süd,52.53367911217824,13.405674289530168,Private room,36,1,0,,,2,0
12945,18973422,"Freundliche, helle Schöneberger Kiezwohnung",35529307,Lisa,Tempelhof - Schöneberg,Schöneberg-Nord,52.49627020893194,13.363279807807336,Entire home/apt,100,7,6,2018-10-03,0.58,1,15
12946,18973648,"Gartenzimmer mit eigenem Bad (U3, B 118, B X110)",132341848,Georg,Steglitz - Zehlendorf,Zehlendorf  Nord,52.448034853142424,13.255799810576697,Private room,60,2,2,2018-09-22,1.13,1,168
12947,18974200,"Apartment in Reuterkiez, Neukölln",114062066,Monika,Neukölln,Reuterstraße,52.490712037192885,13.428296358922514,Private room,65,2,4,2017-09-24,0.26,1,0
12948,18975138,Sweet & Cozy in Berlin City Center,132356549,Diana,Pankow,Prenzlauer Berg Südwest,52.531976173165724,13.407256827696493,Private room,35,2,67,2018-10-15,3.87,1,9
12949,18975216,Friendly apartment with terrace in Prenzlauer Berg,132351059,Stefan,Pankow,Prenzlauer Berg Süd,52.53533629162153,13.426385833751032,Entire home/apt,95,2,2,2017-08-05,0.13,1,0
12950,18980414,Cozy apartment in the center (Mitte and Kreuzberg),40395396,Jeannine,Mitte,Alexanderplatz,52.50865910859318,13.420812208499141,Entire home/apt,60,3,1,2017-11-12,0.08,1,0
12951,18980933,Lovely spacey place for families with small kids,38064713,Arda,Pankow,Weißensee,52.554162632708,13.431161418567939,Entire home/apt,109,31,1,2017-09-09,0.07,1,0
12952,18981768,"Zentral, Ruhe im Hinterhaus, Spree, Balkon,",8297571,Pascal,Mitte,Alexanderplatz,52.508503979546774,13.421876723439402,Entire home/apt,70,1,3,2017-09-24,0.17,1,0
12953,18982122,Large yet cosy studio in the heart of Neukölln,7475875,Sara,Neukölln,Rixdorf,52.4694090381816,13.44233339266707,Private room,31,2,6,2018-09-24,2.05,1,30
12954,18982383,Beautiful sunny room heart of Kreuzberg,33450078,Amy,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49123762459279,13.38601985831443,Private room,30,4,9,2018-08-22,0.52,1,0
12955,18982483,"in the center of berlin, calm and bright",132420687,Judith,Mitte,Alexanderplatz,52.50865507538932,13.422442873822666,Private room,100,10,0,,,1,0
12956,18983436,Large room in rooftop flat central Friedrichshain,1211681,Farhad,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50734370287079,13.451846882745375,Private room,38,2,4,2018-09-16,0.24,2,0
12957,18983661,Sunny 2-Room Flat in GDR- Style,47278997,Beatrice & Fabian,Treptow - Köpenick,Baumschulenweg,52.46717919034403,13.489874807700126,Entire home/apt,70,2,5,2018-06-24,0.31,1,29
12958,18983701,Quiet Room in a City Centre,131425332,Izabela,Charlottenburg-Wilm.,Schloß Charlottenburg,52.513628198008426,13.296019591910815,Private room,30,2,14,2017-10-12,0.81,1,34
12959,18983981,Cosy flat in trendy area of Neukölln,125198290,Isabella,Neukölln,Neuköllner Mitte/Zentrum,52.47072207484913,13.433490064249472,Entire home/apt,120,3,26,2018-11-02,1.51,1,57
12960,18984783,Room with balcony and an amazing view,13239053,Nils,Tempelhof - Schöneberg,Schöneberg-Süd,52.486837437256774,13.373434608161828,Private room,49,2,6,2017-09-25,0.36,1,0
12961,18984858,Nice and Cosy Room in Neukölln,109838639,Frauke,Neukölln,Reuterstraße,52.48367137741886,13.440623503194635,Private room,24,4,7,2018-10-01,0.43,1,0
12962,18985325,Comfortable Room Surrounded by Nature,87331100,Christina,Steglitz - Zehlendorf,Ostpreußendamm,52.421550341679236,13.320678051329331,Private room,38,2,37,2018-11-04,2.31,1,59
12963,18986200,City-Apartment Berlin Charlottenburg,42048631,Archibald,Charlottenburg-Wilm.,Westend,52.51206424302735,13.27838250181903,Entire home/apt,82,2,6,2018-07-06,0.35,5,307
12964,18987302,"Gemütliches, helles Zimmer in Mitte.",21764736,Lukas,Mitte,Brunnenstr. Nord,52.55075024680075,13.382770335728257,Private room,20,5,8,2018-09-30,0.47,1,12
12965,18987322,Top Studio Birkhein* NEW,2570291,Marley,Mitte,Moabit West,52.531629213553295,13.341475481181055,Entire home/apt,90,90,35,2018-09-21,2.06,5,360
12966,18987355,"central@Berlin, Kollwitz&Helmholtzkiez",20846037,Haike,Pankow,Helmholtzplatz,52.54018376468585,13.423821454757835,Private room,40,1,0,,,1,0
12967,18987704,Artist Loft Living --->>>  The Shack,131732958,Mona,Neukölln,Neuköllner Mitte/Zentrum,52.48501537300395,13.426459687287936,Entire home/apt,38,3,39,2018-10-23,2.31,2,60
12968,18987730,Cozy Apartment between Park and Canal,6372853,Georg-Oliver,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49383402570722,13.43493281762135,Entire home/apt,50,2,33,2018-09-24,2.07,1,0
12969,18990773,Zweiraum 65qm Appartment Kreuzberg / Langzeit,4332832,Bernhard,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.5050109153602,13.395093506636195,Entire home/apt,39,60,4,2018-08-01,0.28,1,279
12970,18991291,Schönes Privatzimmer nähe Olympiastadion/Messe ICC,17497574,John,Charlottenburg-Wilm.,Westend,52.519950798490704,13.253994812897618,Private room,50,1,7,2018-09-09,0.41,1,0
12971,18991973,Cozy modern Apartment in Central Berlin!,132024723,Anna,Mitte,Moabit Ost,52.531726390341284,13.351638577290098,Entire home/apt,80,2,35,2018-09-24,2.01,1,0
12972,18992320,Top location studio apartment near mall of berlin,49926726,Wen Qian,Mitte,Regierungsviertel,52.510956494950726,13.383242064426547,Entire home/apt,55,9,1,2017-07-31,0.06,1,0
12973,18993208,"Nice room in Prenzlauer-Berg, Berlin",132482693,Sophie,Pankow,Prenzlauer Berg Nord,52.54875948954293,13.420685993122726,Private room,20,7,0,,,1,0
12974,18993629,Beautiful big room  - WHOLE APPARTEMENT,26673919,Ngan,Tempelhof - Schöneberg,Schöneberg-Süd,52.48144656247193,13.360993642358466,Private room,50,1,4,2018-10-01,0.7,1,3
12975,18995231,Feel the vivant Heartbeat of Kreuzberg,132504557,Saskia,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49731684330821,13.416432775847447,Private room,35,1,1,2017-06-05,0.06,1,0
12976,18995497,"Spacious, cozy, quiet room in a lovely apartment!",35116771,Oran,Mitte,Parkviertel,52.55641888726314,13.34644620616062,Private room,38,1,24,2017-10-19,1.38,1,0
12977,18995629,Schöne helle 120 qm Neubauwohnung in Pankow,23222841,Ghyslaine,Pankow,Pankow Zentrum,52.5615704302394,13.400537029194806,Entire home/apt,120,5,6,2018-06-30,0.36,1,1
12978,18995875,Cool flat in the city center!,23738283,Jarek,Mitte,Alexanderplatz,52.52836485858775,13.393369869410453,Private room,50,2,31,2018-10-28,1.78,1,4
12979,18995895,Cosy & spacious appartment in hip neighbourhood,1688858,Katja,Neukölln,Rixdorf,52.4813832907886,13.440442355931038,Entire home/apt,75,2,4,2017-09-09,0.23,1,0
12980,18996038,Light filled room in Berlin,28596736,Angela,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51607631655406,13.464114243350297,Private room,19,5,7,2018-01-10,0.4,1,0
12981,18996769,"Quiet, central, fully equipped apartment + balcony",19150967,Gero,Pankow,Prenzlauer Berg Nord,52.55073529556938,13.41723173147594,Entire home/apt,60,50,21,2018-10-01,1.22,1,151
12982,18997716,70 sqm flat next to Maybachufer,132527627,Max,Treptow - Köpenick,Alt  Treptow,52.490498380518076,13.442554546536732,Entire home/apt,64,3,2,2017-06-11,0.12,1,0
